,lemma,log_likelihood,relative_frequency,register,p_value,p_value_fdr
7484,κήδω,53.93479321798851,0.0001823211865145738,Epic,2.0725488828965824e-13,1.476920150256135e-11
31643,Ἶρις,53.83668968185857,0.0001664671702959152,Epic,2.178660495102052e-13,1.5360686247081655e-11
15921,πρόμαχος,53.83668968185857,0.0001664671702959152,Epic,2.178660495102052e-13,1.5360686247081655e-11
29399,ἐφέπω,53.695615722578296,0.00021006571489722635,Epic,2.3408505411326075e-13,1.6337206178721158e-11
33173,ὕδωρ,52.977888897246636,0.0005509270635983861,Epic,3.373243234414108e-13,2.34457721235489e-11
29190,ἐρείπω,52.834618632678364,0.00014664965002259198,Epic,3.628491061737544e-13,2.5116726778886325e-11
30135,ἔξοχος,52.834618632678364,0.00014664965002259198,Epic,3.628491061737544e-13,2.5116726778886325e-11
28713,ἐπιβαίνω,52.552120203175036,0.00026951827571719604,Epic,4.1898018551721364e-13,2.8825325812138545e-11
5246,δύναμαι,52.45466507229099,0.0006619051771289962,Epic,4.4029585058879253e-13,3.023037372531448e-11
16327,πτολίεθρον,52.44848211294293,0.00012286862569460408,Epic,4.416842450948078e-13,3.026431176561569e-11
19898,φέρτατος,52.24359369713342,0.00016250366624125058,Epic,4.902561585898959e-13,3.345701756473667e-11
28589,ἐπείγω,52.24359369713342,0.00016250366624125058,Epic,4.902561585898959e-13,3.345701756473667e-11
33177,ὕλη,52.20390282045041,0.0002061022108425617,Epic,5.002660945446812e-13,3.407144272483484e-11
9839,κῆρ,51.74286090429132,0.00040824091763045874,Epic,6.326644916015229e-13,4.2915952657755407e-11
21299,ἀίσσω,51.417560974980645,0.0002893357959905193,Epic,7.466762627316261e-13,5.024700758887239e-11
18986,τείρω,51.3918160474175,0.0001902481946239031,Epic,7.565326375485565e-13,5.0608445154903335e-11
829,Κρονίδης,51.3918160474175,0.0001902481946239031,Epic,7.565326375485565e-13,5.0608445154903335e-11
21273,ἀέκων,51.3918160474175,0.0001902481946239031,Epic,7.565326375485565e-13,5.0608445154903335e-11
25667,ἄστυ,51.16768398410058,0.0007570292744409477,Epic,8.480326659453034e-13,5.6617470827579036e-11
22655,ἀνήρ,50.83103709908295,0.008113292799898534,Epic,1.0066918201444608e-12,6.707777838596428e-11
20581,χάλκειος,50.75659559317058,0.00011890512163993944,Epic,1.045606082458916e-12,6.859054318827877e-11
21989,ἀλεγεινός,50.75659559317058,0.00011890512163993944,Epic,1.045606082458916e-12,6.859054318827877e-11
1497,Πουλυδάμας,50.75659559317058,0.00011890512163993944,Epic,1.045606082458916e-12,6.859054318827877e-11
26907,ἐκτελέω,50.75659559317058,0.00011890512163993944,Epic,1.045606082458916e-12,6.859054318827877e-11
4114,δηιοτής,50.75659559317058,0.00011890512163993944,Epic,1.045606082458916e-12,6.859054318827877e-11
31271,ἱερεύω,50.75659559317058,0.00011890512163993944,Epic,1.045606082458916e-12,6.859054318827877e-11
14035,παχύς,50.75659559317058,0.00011890512163993944,Epic,1.045606082458916e-12,6.859054318827877e-11
551,Εὐρύμαχος,50.75659559317058,0.00011890512163993944,Epic,1.045606082458916e-12,6.859054318827877e-11
31747,ὀλοφύρομαι,50.65300005909231,0.00015854016218658592,Epic,1.1022782915794416e-12,7.189020788376209e-11
7571,καθίζω,50.65300005909231,0.00015854016218658592,Epic,1.1022782915794416e-12,7.189020788376209e-11
12188,νηλής,50.65300005909231,0.00015854016218658592,Epic,1.1022782915794416e-12,7.189020788376209e-11
19044,τελέω,50.191601590540174,0.000788737306878265,Epic,1.394433304326192e-12,9.076956330411013e-11
31093,Ἥφαιστος,50.08756776206952,0.00028537229193585466,Epic,1.470356202580621e-12,9.516269044197217e-11
12829,οὐδός,-50.09976588798553,0.0008759343960808871,Tragic,1.4612442609926687e-12,9.475413216540392e-11
5333,δύστηνος,-50.10829157530425,0.0005667810798170446,Tragic,1.454909184174616e-12,9.452441645897616e-11
19690,τυραννίς,-51.57823083449225,0.0001823211865145738,Tragic,6.880023337102302e-13,4.639081871266451e-11
17000,σκοπέω,-51.57823083449225,0.0001823211865145738,Tragic,6.880023337102302e-13,4.639081871266451e-11
24110,ἀπός,-51.57823083449225,0.0001823211865145738,Tragic,6.880023337102302e-13,4.639081871266451e-11
18670,τάχος,-51.933856088190254,0.0002417737473345435,Tragic,5.740207185106795e-13,3.901611907804817e-11
20953,χρεών,-52.699496722198596,0.00018628469056923845,Tragic,3.886906960260205e-13,2.67959091034313e-11
5720,εἴτʼ,-52.699496722198596,0.00018628469056923845,Tragic,3.886906960260205e-13,2.67959091034313e-11
20504,φόβος,-53.31773772208399,0.0008164818352609175,Tragic,2.837329737131824e-13,1.9761476187690354e-11
19931,φίλτα,-53.820762609904946,0.0001902481946239031,Tragic,2.1963934366118707e-13,1.5360686247081655e-11
19335,τοιός,-53.820762609904946,0.0001902481946239031,Tragic,2.1963934366118707e-13,1.5360686247081655e-11
25386,ἄνος,-53.820762609904946,0.0001902481946239031,Tragic,2.1963934366118707e-13,1.5360686247081655e-11
18224,σφαγή,-53.820762609904946,0.0001902481946239031,Tragic,2.1963934366118707e-13,1.5360686247081655e-11
17428,στεῖχος,-53.820762609904946,0.0001902481946239031,Tragic,2.1963934366118707e-13,1.5360686247081655e-11
23318,ἀνόσιος,-53.820762609904946,0.0001902481946239031,Tragic,2.1963934366118707e-13,1.5360686247081655e-11
21294,ἀίς,-53.820762609904946,0.0001902481946239031,Tragic,2.1963934366118707e-13,1.5360686247081655e-11
19735,τόπος,-54.9420284976113,0.00019421169867856776,Tragic,1.2413785004290463e-13,8.99773465974792e-12
19718,τόιος,-54.9420284976113,0.00019421169867856776,Tragic,1.2413785004290463e-13,8.99773465974792e-12
6585,θάνος,-54.9420284976113,0.00019421169867856776,Tragic,1.2413785004290463e-13,8.99773465974792e-12
18655,τάσδς,-54.9420284976113,0.00019421169867856776,Tragic,1.2413785004290463e-13,8.99773465974792e-12
16680,σέβω,-54.9420284976113,0.00019421169867856776,Tragic,1.2413785004290463e-13,8.99773465974792e-12
24471,ἀστός,-55.10247587513175,0.0002536642594985375,Tragic,1.1440670252039863e-13,8.400330745364367e-12
2928,βούλομαι,-55.23845487590281,0.0008006278190422589,Tragic,1.067595278711305e-13,7.855876649804123e-12
5828,εὐγενής,-56.06329438531766,0.0001981752027332324,Tragic,7.017508378400937e-14,5.266865656330228e-12
21262,ψῆφος,-57.18456027302402,0.00020213870678789704,Tragic,3.967738534141886e-14,3.0045633476995233e-12
27076,ἐλεύθερος,-58.18663348895949,0.00030915331626384253,Tragic,2.383933280744593e-14,1.8465390759707948e-12
9939,λέγος,-58.30582616073037,0.0002061022108425617,Tragic,2.243786172575051e-14,1.741970599896626e-12
18334,σωτηρία,-58.30582616073037,0.0002061022108425617,Tragic,2.243786172575051e-14,1.741970599896626e-12
12799,οἶσθις,-59.42709204843673,0.00021006571489722635,Tragic,1.2690984328884292e-14,1.0060354298557481e-12
31139,ἰδού,-60.54835793614308,0.00021402921895189098,Tragic,7.179295459898969e-15,5.717928753461652e-13
5835,εὐδαίμων,-60.54835793614308,0.00021402921895189098,Tragic,7.179295459898969e-15,5.717928753461652e-13
21556,ἀδελφός,-60.96592200529082,0.0005905621041450325,Tragic,5.807136895259848e-15,4.725138864606985e-13
30880,ἡνίκος,-61.66962382384943,0.00021799272300655564,Tragic,4.0619860843156074e-15,3.329156585181574e-13
11878,μῶν,-61.66962382384943,0.00021799272300655564,Tragic,4.0619860843156074e-15,3.329156585181574e-13
14000,πατήρ,-62.15692240708327,0.005128774246736054,Tragic,3.171502085883466e-15,2.618345709879742e-13
30288,ἔτος,-62.18163059450633,0.0006262336406370144,Tragic,3.1319582281599118e-15,2.592020881784471e-13
21073,χρῄζω,-62.26126062138292,0.00032500733248250115,Tragic,3.0078412288153804e-15,2.4954023959355834e-13
19427,τοῦσδε,-62.79088971155577,0.0002219562270612203,Tragic,2.2985960942405765e-15,1.940278782891503e-13
16489,πόλλς,-62.79088971155577,0.0002219562270612203,Tragic,2.2985960942405765e-15,1.940278782891503e-13
17245,στέγη,-62.79088971155577,0.0002219562270612203,Tragic,2.2985960942405765e-15,1.940278782891503e-13
12271,νοσέω,-62.79088971155577,0.0002219562270612203,Tragic,2.2985960942405765e-15,1.940278782891503e-13
2912,βούλευμα,-62.79088971155577,0.0002219562270612203,Tragic,2.2985960942405765e-15,1.940278782891503e-13
21130,χώρα,-63.3293333098099,0.0004240949338491173,Tragic,1.748805874019677e-15,1.494831566406365e-13
12260,νομίζω,-63.912155599262135,0.00022591973111588492,Tragic,1.300924811733966e-15,1.1233419375607911e-13
30340,ἔχος,-63.912155599262135,0.00022591973111588492,Tragic,1.300924811733966e-15,1.1233419375607911e-13
20555,φύω,-64.69244160997367,0.0008244088433702468,Tragic,8.75500566394119e-16,7.63783986388519e-14
4008,δεινός,-65.27779038593805,0.0016171096543031763,Tragic,6.505034971105019e-16,5.719192954206073e-14
9617,κυρέω,-65.33048732584443,0.00033689784464649506,Tragic,6.333392606095317e-16,5.582786623013552e-14
10805,μέρος,-66.15468737467484,0.00023384673922521423,Tragic,4.1688706994363583e-16,3.7037297717905845e-14
8872,κλεινός,-66.15468737467484,0.00023384673922521423,Tragic,4.1688706994363583e-16,3.7037297717905845e-14
19857,φάος,-66.28979594283187,0.0008878249082448812,Tragic,3.8926863399411834e-16,3.4858079344092356e-14
31895,ὀρθός,-66.60938195534222,0.0005707445838717093,Tragic,3.3100696211455224e-16,2.9719508383595434e-14
32404,ὄχλος,-67.27595326238118,0.00023781024327987888,Tragic,2.360429446081141e-16,2.1306180352106812e-14
20551,φύσις,-68.57659651902227,0.00027744528382652535,Tragic,1.2204392926628238e-16,1.1317986196532583e-14
13197,πέπλος,-69.24374687288622,0.0005667810798170446,Tragic,8.701638058128414e-17,8.136512337833943e-15
16127,πρόσπολος,-69.5184850377939,0.00024573725138920817,Tragic,7.570170821622062e-17,7.238494693250994e-15
20966,χρηστός,-69.5184850377939,0.00024573725138920817,Tragic,7.570170821622062e-17,7.238494693250994e-15
18667,τάχʼ,-69.5184850377939,0.00024573725138920817,Tragic,7.570170821622062e-17,7.238494693250994e-15
19333,τοισός,-69.5184850377939,0.00024573725138920817,Tragic,7.570170821622062e-17,7.238494693250994e-15
11549,μικρός,-70.01341104679871,0.0003329343405918304,Tragic,5.890262993393832e-17,5.71288000181627e-15
17501,στρατός,-71.20723314451446,0.0012326497610007055,Tragic,3.216069223467874e-17,3.1737821325120716e-15
3011,βροτός,-71.26458562035702,0.0018866279300203724,Tragic,3.1239295056289245e-17,3.091868123860628e-15
10718,μέλαθρον,-71.5350101427774,0.0004399489500677759,Tragic,2.7238200912048143e-17,2.719722308766719e-15
3590,δάμαρ,-72.22544173955443,0.00038445989330247087,Tragic,1.9196483835641915e-17,1.9281358497111075e-15
7661,καιρός,-72.88228270091295,0.00025762776355320213,Tragic,1.3761804999346388e-17,1.4030823416351683e-15
3163,γένοις,-74.00354858861931,0.0002615912676078668,Tragic,7.7976727450878e-18,7.974121593609577e-16
18380,σύγγονος,-74.00354858861931,0.0002615912676078668,Tragic,7.7976727450878e-18,7.974121593609577e-16
29986,ἔμι,-75.12481447632565,0.0002655547716625314,Tragic,4.418776259586115e-18,4.616393753417604e-16
12937,οὖπος,-76.24608036403203,0.00026951827571719604,Tragic,2.5042924824235747e-18,2.648993632423612e-16
7658,καινός,-76.24608036403203,0.00026951827571719604,Tragic,2.5042924824235747e-18,2.648993632423612e-16
1916,Φρύξ,-76.31973750822831,0.00035671536491981834,Tragic,2.4126043109103344e-18,2.5680579660378587e-16
3505,γυνή,-77.44635642493748,0.0036186792019088235,Tragic,1.363765522720396e-18,1.4608259233722368e-16
27429,ἐνθάς,-78.48861213944473,0.00027744528382652535,Tragic,8.04607392677305e-19,8.813966224833041e-17
12830,οὐδ’,-78.48861213944473,0.00027744528382652535,Tragic,8.04607392677305e-19,8.813966224833041e-17
30822,ἡδονή,-78.48861213944473,0.00027744528382652535,Tragic,8.04607392677305e-19,8.813966224833041e-17
2129,αἰσχρός,-79.04176561742902,0.000507328518997075,Tragic,6.081066414101459e-19,6.748787444292467e-17
19671,τυγχάνω,-79.32435785802241,0.0008997154204088751,Tragic,5.270588334888991e-19,5.907422004889319e-17
16242,πρᾶγμα,-79.60987802715107,0.00028140878788119,Tragic,4.561392940299648e-19,5.216168568790635e-17
30248,ἔσθος,-80.6166560271666,0.0003210438284278365,Tragic,2.7403986082095104e-19,3.165861859702516e-17
20434,φυγή,-80.72168371196986,0.00034878835681048903,Tragic,2.5985504966580526e-19,3.0122717726499463e-17
12792,οἶνεξ,-80.73114391485744,0.00028537229193585466,Tragic,2.5861401169306547e-19,3.0081875195184096e-17
