line_urn,heat
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:260,-3.9244306069722357
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:261,33.66644049174821
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:262,-7.475105918042355
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:263,-16.818988315595295
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:264,8.330796621784017
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:265,-2.803164719265883
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:266,-11.003064603595794
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:267,-125.6916358748253
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:268,-347.21866989306733
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:269,31.572528714165028
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:270,201.7573289967798
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:271,-48.39768090141202
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:272,-17.25872044515416
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:273,-35.00844219109546
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:274,-2.2223187954141475
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:275,-9.662301895760935
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:276,-12.263868833921485
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:277,-47.91007802312918
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:278,-5.345940253239974
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:279,-132.14158881772417
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:280,-15.356109101152468
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:281,1.2624897492143576
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:282,160.2996583205318
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:283,-5.400093088936394
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:284,-9.7963319709818
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:285,-65.77788805027878
